source_id,organization,source_title,source_type,url,publication_year,accessed_date,geographic_scope,source_status,official_or_secondary,relevance,notes
SRC_016,NSDC,Field Technician Washing Machine - QP ELE/Q3106,NSDC,https://www.nsdcindia.org/sites/default/files/QP_ELE-Q3106_Field_Technician_Washing_Machine.pdf,2019,2026-09-16,India,CURRENT,Official,QP for Washing Machine Technician,Electronics Sector Skills Council
SRC_017,NSDC,Graphic Designer - QP MES/Q0601,NSDC,https://www.nqr.gov.in/sites/default/files/MESQ0601_Graphic_Designer.pdf,2019,2026-09-16,India,CURRENT,Official,QP for Graphic Designer,Media & Entertainment Skills Council
SRC_018,NSDC,Guest Service Associate (Food & Beverage) - QP THC/Q0301,NSDC,https://www.nsdcindia.org/sites/default/files/THCQ0301_Guest_Service_Associate_FB.pdf,2024,2026-09-16,India,CURRENT,Official,QP for Guest Service Associate,Tourism & Hospitality Skill Council
SRC_019,NSDC,Gardener - QP AGR/Q0801,NSDC,https://www.nsdcindia.org/nos-listing/4.html,2018,2026-09-16,India,RETIRED,Official,Retired QP for Gardener,Current replacement: AGR/Q0809 Gardener cum Nursery Raiser
SRC_020,NSDC,Hand Embroiderer - QP AMH/Q1001,NSDC,https://www.nsdcindia.org/nos-listing/4.html,2018,2026-09-16,India,RETIRED,Official,Retired QP for Hand Embroiderer,Current replacement: AMH/Q1010
SRC_021,NSDC,Inline Checker - QP AMH/Q0102,NSDC,https://www.nsdcindia.org/nos-listing/4.html,2018,2026-09-16,India,RETIRED,Official,Retired QP for Inline Checker,Current replacement: AMH/Q0103
SRC_022,NSDC,Pedicurist and Manicurist - QP BWS/Q0402,NSDC,https://www.nsdcindia.org/nos-listing/4.html,2018,2026-09-16,India,RETIRED,Official,Retired QP for Pedicurist,Current version: BWS/Q0402 v5.0
SRC_023,NSDC,Self Employed Tailor - QP AMH/Q1947,NSDC,https://www.nsdcindia.org/nos-listing/4.html,2018,2026-09-16,India,RETIRED,Official,Retired QP for Tailor,Current version: AMH/Q1947 v4.0
SRC_024,NSDC,Sewing Machine Operator - QP AMH/Q0301,NSDC,https://www.nsdcindia.org/nos-listing/4.html,2018,2026-09-16,India,RETIRED,Official,Retired QP for Sewing Machine Operator,Current replacement: AMH/Q0305
SRC_025,NSDC,Shuttering Carpenter - QP CON/Q0304,NSDC,https://www.nsdcindia.org/nos-listing/4.html,2021,2026-09-16,India,CURRENT,Official,QP for Shuttering Carpenter,Construction Skill Development Council
SRC_026,NSDC,Warehouse Supervisor - QP LSC/Q2307,NSDC,https://nqr.gov.in/sites/default/files/LSCQ2307_Warehouse_Supervisor.pdf,2023,2026-09-16,India,CURRENT,Official,QP for Warehouse Supervisor,Logistics Sector Skill Council
SRC_027,NSDC,Web Developer - QP SSC/Q0503,NSDC,https://www.nsdcindia.org/nos-listing/4.html,2023,2026-09-16,India,CURRENT,Official,QP for Web Developer,IT-ITeS Sector Skill Council
SRC_028,NSDC,Security Supervisor - QP MEP/Q7201,NSDC,https://www.nsdcindia.org/nos-listing/4.html,2018,2026-09-16,India,CURRENT,Official,QP for Security Supervisor,Management & Entrepreneurship and Professional Skills Council
SRC_029,NSDC,Pressman - QP AMH/Q0401,NSDC,https://www.nsdcindia.org/nos-listing/4.html,2018,2026-09-16,India,CURRENT,Official,QP for Pressman,Apparel Made-Ups & Home Furnishing Sector Skill Council
SRC_030,NSDC,Assistant Beauty Therapist - QP BWS/Q0101,NSDC,https://nqr.gov.in/sites/default/files/BWSQ0101_Assistant_Beauty_Therapist.pdf,2022,2026-09-16,India,CURRENT,Official,QP for Assistant Beauty Therapist,Beauty & Wellness Sector Skill Council
SRC_031,NSDC,Assistant Hair Stylist - QP BWS/Q0201,NSDC,https://www.nsdcindia.org/nos-listing/4.html,2019,2026-09-16,India,CURRENT,Official,QP for Assistant Hair Stylist,Beauty & Wellness Sector Skill Council
SRC_032,NSDC,Refrigeration & Air Conditioner Technician - QP ELE/Q3102,NSDC,https://www.nsdcindia.org/nos-listing/4.html,2019,2026-09-16,India,CURRENT,Official,QP for RAC Technician,Electronics Sector Skills Council
SRC_033,NSDC,Electronics Mechanic - QP IES/Q1105,NSDC,https://www.nsdcindia.org/nos-listing/4.html,2019,2026-09-16,India,CURRENT,Official,QP for Electronics Mechanic,Infrastructure Equipment Skill Council
