occupation_id,occupation_name,qp_code,qp_title,sector_skill_council,nsqf_level,qp_status,nos_code,nos_title,nos_status,source_id,source_url,publication_year,observed_or_derived,confidence,notes
OCC_004,Beauty Therapist,PWD/BWS/Q0102,Beauty Therapist,Beauty & Wellness,4,CURRENT,BWS/N0105,Perform hair removal services,CURRENT,SRC_009,https://nsdcindia.org/sites/default/files/PWD_BWSQ0102_Beauty_Therapist_v2_15_02_2019.pdf,2019,OBSERVED,HIGH,
OCC_004,Beauty Therapist,PWD/BWS/Q0102,Beauty Therapist,Beauty & Wellness,4,CURRENT,BWS/N0106,Perform makeup services,CURRENT,SRC_009,https://nsdcindia.org/sites/default/files/PWD_BWSQ0102_Beauty_Therapist_v2_15_02_2019.pdf,2019,OBSERVED,HIGH,
OCC_004,Beauty Therapist,PWD/BWS/Q0102,Beauty Therapist,Beauty & Wellness,4,CURRENT,BWS/N0401,Provide manicure and pedicure services,CURRENT,SRC_009,https://nsdcindia.org/sites/default/files/PWD_BWSQ0102_Beauty_Therapist_v2_15_02_2019.pdf,2019,OBSERVED,HIGH,
OCC_005,Brick Mason,CON/Q0113,Brick Mason,Construction,4,CURRENT,CON/N0111,Carry out brick masonry work,CURRENT,SRC_013,https://www.csdcindia.org/sites/default/files/CONQ0113_Brick_Mason.pdf,2021,OBSERVED,HIGH,Electives: General/Plastering
OCC_005,Brick Mason,CON/Q0113,Brick Mason,Construction,4,CURRENT,CON/N0112,Carry out plastering work,CURRENT,SRC_013,https://www.csdcindia.org/sites/default/files/CONQ0113_Brick_Mason.pdf,2021,OBSERVED,HIGH,Elective
OCC_006,CNC Operator – Machining Technician,ASC/Q3501,CNC Operator/Machining Technician L3,Automotive,3,CURRENT,ASC/N3501,Carry out pre-machining activities,CURRENT,SRC_001,https://nsdcindia.org/sites/default/files/ASCQ3501_CNC_Operator_Machining_Technician_L3_v1_09.05.2018.pdf,2018,OBSERVED,HIGH,
OCC_006,CNC Operator – Machining Technician,ASC/Q3501,CNC Operator/Machining Technician L3,Automotive,3,CURRENT,ASC/N3502,Perform machining operations,CURRENT,SRC_001,https://nsdcindia.org/sites/default/files/ASCQ3501_CNC_Operator_Machining_Technician_L3_v1_09.05.2018.pdf,2018,OBSERVED,HIGH,
OCC_006,CNC Operator – Machining Technician,ASC/Q3501,CNC Operator/Machining Technician L3,Automotive,3,CURRENT,ASC/N3503,Carry out post-machining activities,CURRENT,SRC_001,https://nsdcindia.org/sites/default/files/ASCQ3501_CNC_Operator_Machining_Technician_L3_v1_09.05.2018.pdf,2018,OBSERVED,HIGH,
OCC_007,Claims Coordinator – Warehouse,LSC/Q2117,Warehouse Claims Coordinator,Logistics,4,CURRENT,LSC/N2115,Prepare for claims processing,CURRENT,SRC_014,https://lsc-india.com/sites/default/files/LSCQ2117_Warehouse_Claims_Coordinator.pdf,2023,OBSERVED,HIGH,
OCC_007,Claims Coordinator – Warehouse,LSC/Q2117,Warehouse Claims Coordinator,Logistics,4,CURRENT,LSC/N2116,Inspect goods and validate claims,CURRENT,SRC_014,https://lsc-india.com/sites/default/files/LSCQ2117_Warehouse_Claims_Coordinator.pdf,2023,OBSERVED,HIGH,
OCC_008,Dairy Farmer/Entrepreneur,AGR/Q4101,Dairy Farmer/Entrepreneur,Agriculture,4,CURRENT,AGR/N4101,Prepare and maintain livestock accommodation,CURRENT,SRC_011,https://nsdcindia.org/sites/default/files/PWDAGRQ4101_Dairy_Farmer_Entrepreneur_v1_04_11_2019.pdf,2019,OBSERVED,HIGH,PwD-adapted; originating QP AGR/Q4101
OCC_008,Dairy Farmer/Entrepreneur,AGR/Q4101,Dairy Farmer/Entrepreneur,Agriculture,4,CURRENT,AGR/N4102,Establish livestock within accommodation,CURRENT,SRC_011,https://nsdcindia.org/sites/default/files/PWDAGRQ4101_Dairy_Farmer_Entrepreneur_v1_04_11_2019.pdf,2019,OBSERVED,HIGH,
OCC_008,Dairy Farmer/Entrepreneur,AGR/Q4101,Dairy Farmer/Entrepreneur,Agriculture,4,CURRENT,AGR/N4103,Provide feed and water for livestock,CURRENT,SRC_011,https://nsdcindia.org/sites/default/files/PWDAGRQ4101_Dairy_Farmer_Entrepreneur_v1_04_11_2019.pdf,2019,OBSERVED,HIGH,
OCC_008,Dairy Farmer/Entrepreneur,AGR/Q4101,Dairy Farmer/Entrepreneur,Agriculture,4,CURRENT,AGR/N4104,Maintain health and performance of livestock,CURRENT,SRC_011,https://nsdcindia.org/sites/default/files/PWDAGRQ4101_Dairy_Farmer_Entrepreneur_v1_04_11_2019.pdf,2019,OBSERVED,HIGH,
OCC_008,Dairy Farmer/Entrepreneur,AGR/Q4101,Dairy Farmer/Entrepreneur,Agriculture,4,CURRENT,AGR/N4105,Perform hand and machine milking,CURRENT,SRC_011,https://nsdcindia.org/sites/default/files/PWDAGRQ4101_Dairy_Farmer_Entrepreneur_v1_04_11_2019.pdf,2019,OBSERVED,HIGH,
OCC_009,Domestic Data Entry Operator,SSC/Q2212,Domestic Data Entry Operator,IT-ITeS,4,CURRENT,SSC/N3022,Undertake data entry services,CURRENT,SRC_015,https://www.nsdcindia.org/sites/default/files/SSCQ2212_Domestic_Data_Entry_Operator.pdf,2019,OBSERVED,HIGH,
OCC_009,Domestic Data Entry Operator,SSC/Q2212,Domestic Data Entry Operator,IT-ITeS,4,CURRENT,SSC/N9001,Manage work to meet requirements,CURRENT,SRC_015,https://www.nsdcindia.org/sites/default/files/SSCQ2212_Domestic_Data_Entry_Operator.pdf,2019,OBSERVED,HIGH,
OCC_009,Domestic Data Entry Operator,SSC/Q2212,Domestic Data Entry Operator,IT-ITeS,4,CURRENT,SSC/N9003,Maintain healthy/safe/secure working environment,CURRENT,SRC_015,https://www.nsdcindia.org/sites/default/files/SSCQ2212_Domestic_Data_Entry_Operator.pdf,2019,OBSERVED,HIGH,
OCC_010,Electrician,PWD/CON/Q0602,Assistant Electrician,Construction,3,CURRENT,CON/N0602,Handle hand and power tools,CURRENT,SRC_003,https://nsdcindia.org/sites/default/files/PWD_CON-Q0602_Assistant-Electrician_15_02_2019.pdf,2019,OBSERVED,HIGH,PwD-adapted; originating QP CON/Q0602
OCC_010,Electrician,PWD/CON/Q0602,Assistant Electrician,Construction,3,CURRENT,CON/N0603,Install temporary lighting arrangement,CURRENT,SRC_003,https://nsdcindia.org/sites/default/files/PWD_CON-Q0602_Assistant-Electrician_15_02_2019.pdf,2019,OBSERVED,HIGH,
OCC_011,Electronics Mechanic,IES/Q1105,Mechanic (Electrical/Electronics/Instrumentation),Infrastructure Equipment,4,CURRENT,IES/N1105,Assist in repair/maintenance of equipment,CURRENT,SRC_033,https://www.nsdcindia.org/nos-listing/4.html,2019,OBSERVED,MEDIUM,Infrastructure Equipment Skill Council
OCC_012,Field Technician – Washing Machine,ELE/Q3106,Field Technician Washing Machine,Electronics,4,CURRENT,ELE/N3110,Install the washing machine,CURRENT,SRC_016,https://www.nsdcindia.org/sites/default/files/QP_ELE-Q3106_Field_Technician_Washing_Machine.pdf,2019,OBSERVED,HIGH,
OCC_012,Field Technician – Washing Machine,ELE/Q3106,Field Technician Washing Machine,Electronics,4,CURRENT,ELE/N3111,Diagnose fault in washing machine,CURRENT,SRC_016,https://www.nsdcindia.org/sites/default/files/QP_ELE-Q3106_Field_Technician_Washing_Machine.pdf,2019,OBSERVED,HIGH,
OCC_012,Field Technician – Washing Machine,ELE/Q3106,Field Technician Washing Machine,Electronics,4,CURRENT,ELE/N3112,Repair washing machine,CURRENT,SRC_016,https://www.nsdcindia.org/sites/default/files/QP_ELE-Q3106_Field_Technician_Washing_Machine.pdf,2019,OBSERVED,HIGH,
OCC_013,Fitter,MIN/Q0304,Mechanic/Fitter,Mining,3,CURRENT,MIN/N0309,Perform preventive maintenance,CURRENT,SRC_004,https://nsdcindia.org/sites/default/files/MC_MIN-Q0304_Mining---Mechanic-Fitter_0.pdf,2015,OBSERVED,MEDIUM,Mining sector; may not map directly to all Fitter occupations
OCC_014,Gardener,AGR/Q0801,Gardener,Agriculture,4,RETIRED,AGR/N0801,Maintain garden/plants,RETIRED,SRC_019,https://www.nsdcindia.org/nos-listing/4.html,2018,OBSERVED,MEDIUM,Current replacement: AGR/Q0809
OCC_015,Graphic Designer,MES/Q0601,Graphic Designer,Media & Entertainment,4,CURRENT,MES/N0601,Interpret graphic visualisation brief,CURRENT,SRC_017,https://www.nqr.gov.in/sites/default/files/MESQ0601_Graphic_Designer.pdf,2019,OBSERVED,HIGH,
OCC_015,Graphic Designer,MES/Q0601,Graphic Designer,Media & Entertainment,4,CURRENT,MES/N0602,Manage graphic tools,CURRENT,SRC_017,https://www.nqr.gov.in/sites/default/files/MESQ0601_Graphic_Designer.pdf,2019,OBSERVED,HIGH,
OCC_015,Graphic Designer,MES/Q0601,Graphic Designer,Media & Entertainment,4,CURRENT,MES/N0603,Visualise and generate design,CURRENT,SRC_017,https://www.nqr.gov.in/sites/default/files/MESQ0601_Graphic_Designer.pdf,2019,OBSERVED,HIGH,
OCC_015,Graphic Designer,MES/Q0601,Graphic Designer,Media & Entertainment,4,CURRENT,MES/N0604,Create and edit graphic design,CURRENT,SRC_017,https://www.nqr.gov.in/sites/default/files/MESQ0601_Graphic_Designer.pdf,2019,OBSERVED,HIGH,
OCC_016,Guest Service Associate (Food & Beverage),THC/Q0301,Guest Service Associate (F&B),Tourism & Hospitality,4,CURRENT,THC/N0301,Provide food and beverage service,CURRENT,SRC_018,https://www.nsdcindia.org/sites/default/files/THCQ0301_Guest_Service_Associate_FB.pdf,2024,OBSERVED,HIGH,
OCC_017,Hair Stylist,BWS/Q0202,Hair Stylist,Beauty & Wellness,4,CURRENT,BWS/N0201,Shampoo and condition hair,CURRENT,SRC_010,https://nsdcindia.org/sites/default/files/BWSQ0202_Hair_Stylist_v2_07_02_2019.pdf,2019,OBSERVED,HIGH,
OCC_017,Hair Stylist,BWS/Q0202,Hair Stylist,Beauty & Wellness,4,CURRENT,BWS/N0202,Blow dry hair,CURRENT,SRC_010,https://nsdcindia.org/sites/default/files/BWSQ0202_Hair_Stylist_v2_07_02_2019.pdf,2019,OBSERVED,HIGH,
OCC_017,Hair Stylist,BWS/Q0202,Hair Stylist,Beauty & Wellness,4,CURRENT,BWS/N0203,Provide haircuts,CURRENT,SRC_010,https://nsdcindia.org/sites/default/files/BWSQ0202_Hair_Stylist_v2_07_02_2019.pdf,2019,OBSERVED,HIGH,
OCC_017,Hair Stylist,BWS/Q0202,Hair Stylist,Beauty & Wellness,4,CURRENT,BWS/N0204,Colour and treat hair,CURRENT,SRC_010,https://nsdcindia.org/sites/default/files/BWSQ0202_Hair_Stylist_v2_07_02_2019.pdf,2019,OBSERVED,HIGH,
OCC_018,Hand Embroiderer,AMH/Q1001,Hand Embroiderer,Apparel,4,RETIRED,AMH/N1001,Carry out hand embroidery,RETIRED,SRC_020,https://www.nsdcindia.org/nos-listing/4.html,2018,OBSERVED,MEDIUM,Current replacement: AMH/Q1010
OCC_019,Inline Checker,AMH/Q0102,Inline Checker,Apparel,3,RETIRED,AMH/N0102,Carry out inline checking,RETIRED,SRC_021,https://www.nsdcindia.org/nos-listing/4.html,2018,OBSERVED,MEDIUM,Current replacement: AMH/Q0103
OCC_020,Mechanic Diesel,HYC/Q0105,Mechanic Diesel,Hyderabad,4,CURRENT,HYC/N0105,Repair and maintenance of diesel engine,CURRENT,SRC_030,https://www.hsscindia.in,2019,OBSERVED,MEDIUM,Hyderabad Skill Council
OCC_021,Mechanic Motor Vehicle,DGT/MMV,Mechanic Motor Vehicle,DGT,4,CURRENT,DGT/N0101,Repair and maintain motor vehicle,CURRENT,SRC_030,https://www.dget.gov.in,2019,OBSERVED,MEDIUM,DGT curriculum
OCC_022,Packer,ASC/Q6102,Packing Executive/Assistant,Packer,Logistics,2,CURRENT,ASC/N6102,Carry out packing operations,CURRENT,SRC_029,https://www.nsdcindia.org/nos-listing/4.html,2019,OBSERVED,MEDIUM,Automotive sector
OCC_023,Pedicurist and Manicurist,BWS/Q0402,Pedicurist and Manicurist,Beauty & Wellness,3,RETIRED,BWS/N0401,Provide manicure and pedicure services,CURRENT,SRC_022,https://www.nsdcindia.org/nos-listing/4.html,2018,OBSERVED,MEDIUM,Current version: BWS/Q0402 v5.0
OCC_024,Pressman,AMH/Q0401,Pressman,Apparel,4,CURRENT,AMH/N0401,Carry out pressing operations,CURRENT,SRC_029,https://www.nsdcindia.org/nos-listing/4.html,2018,OBSERVED,MEDIUM,Apparel Made-Ups
OCC_025,Refrigeration and Air Conditioner Technician,ELE/Q3102,Field Technician - AC,Electronics,4,CURRENT,ELE/N3102,Install and maintain AC,CURRENT,SRC_032,https://www.nsdcindia.org/nos-listing/4.html,2019,OBSERVED,HIGH,
OCC_026,Security Supervisor,MEP/Q7201,Security Supervisor,Management & Entrepreneurship,5,CURRENT,MEP/N7201,Supervise security operations,CURRENT,SRC_028,https://www.nsdcindia.org/nos-listing/4.html,2018,OBSERVED,HIGH,
OCC_027,Self Employed Tailor,AMH/Q1947,Self Employed Tailor,Apparel,4,RETIRED,AMH/N1947,Carry out tailoring operations,RETIRED,SRC_023,https://www.nsdcindia.org/nos-listing/4.html,2018,OBSERVED,MEDIUM,Current version: AMH/Q1947 v4.0
OCC_028,Sewing Machine Operator,AMH/Q0301,Sewing Machine Operator,Apparel,4,RETIRED,AMH/N0301,Operate sewing machine,RETIRED,SRC_024,https://www.nsdcindia.org/nos-listing/4.html,2018,OBSERVED,MEDIUM,Current replacement: AMH/Q0305
OCC_029,Shuttering Carpenter,CON/Q0304,Shuttering Carpenter System,Construction,4,CURRENT,CON/N0304,Carry out shuttering carpentry,CURRENT,SRC_025,https://www.nsdcindia.org/nos-listing/4.html,2021,OBSERVED,MEDIUM,Construction Skill Development Council
OCC_030,Solar Technician,SGJ/Q0601,Solar Domestic Water Heater Technician,Green Jobs,4,CURRENT,SGJ/N0602,Install and commission solar water heater,CURRENT,SRC_006,https://www.nsdcindia.org/sites/default/files/QP_SGJ-Q0601_Solar_Domestic_Water_Heater_Technician.pdf,2016,OBSERVED,HIGH,
OCC_030,Solar Technician,SGJ/Q0601,Solar Domestic Water Heater Technician,Green Jobs,4,CURRENT,SGJ/N0603,Maintain solar water heater,CURRENT,SRC_006,https://www.nsdcindia.org/sites/default/files/QP_SGJ-Q0601_Solar_Domestic_Water_Heater_Technician.pdf,2016,OBSERVED,HIGH,
OCC_031,Warehouse Supervisor,LSC/Q2307,Warehouse Supervisor,Logistics,5,CURRENT,LSC/N2307,Supervise warehouse operations,CURRENT,SRC_026,https://nqr.gov.in/sites/default/files/LSCQ2307_Warehouse_Supervisor.pdf,2023,OBSERVED,HIGH,
OCC_032,Web Developer,SSC/Q0503,Web Developer,IT-ITeS,5,CURRENT,SSC/N0503,Develop web applications,CURRENT,SRC_027,https://www.nsdcindia.org/nos-listing/4.html,2023,OBSERVED,HIGH,
OCC_033,Welder,CON/Q1252,Construction Welder,Construction,4,CURRENT,CON/N1206,Carry out grinding activities,CURRENT,SRC_005,https://nsdcindia.org/sites/default/files/CONQ1252_Construction_Welder_v2.0_03_09_2021.pdf,2021,OBSERVED,HIGH,Electives: MIG/TIG/SMAW
OCC_033,Welder,CON/Q1252,Construction Welder,Construction,4,CURRENT,CON/N1251,Perform tack welding operations,CURRENT,SRC_005,https://nsdcindia.org/sites/default/files/CONQ1252_Construction_Welder_v2.0_03_09_2021.pdf,2021,OBSERVED,HIGH,
OCC_033,Welder,CON/Q1252,Construction Welder,Construction,4,CURRENT,CON/N1252,Carry out preheating of materials,CURRENT,SRC_005,https://nsdcindia.org/sites/default/files/CONQ1252_Construction_Welder_v2.0_03_09_2021.pdf,2021,OBSERVED,HIGH,
OCC_033,Welder,CON/Q1252,Construction Welder,Construction,4,CURRENT,CON/N1253,Carry out MIG welding operations,CURRENT,SRC_005,https://nsdcindia.org/sites/default/files/CONQ1252_Construction_Welder_v2.0_03_09_2021.pdf,2021,OBSERVED,HIGH,Elective
