occupation_id,occupation_name,qp_code,nos_code,skill_id,skill_name,original_competency,mapping_method,mapping_source,source_id,source_url,confidence,observed_or_derived,mapping_explanation,notes
OCC_003,Bar Bender and Steel Fixer,CON/Q0203,CON/N0202,SK_REBAR,Rebar Cutting & Bending,Cut and bend rebar as per requirements,QP_NOS,NSDC QP CON/Q0203,SRC_012,https://www.csdcindia.org/sites/default/files/CONQ0203_Bar_Bender_and_Steel_Fixer.pdf,HIGH,DERIVED,Rebar operations explicitly evidenced,NEW_SKILL_CANDIDATE
OCC_007,Claims Coordinator – Warehouse,LSC/Q2117,LSC/N2116,SK_CLAIMS,Claims Processing,Validate claims and estimate reimbursement,QP_NOS,NSDC QP LSC/Q2117,SRC_014,https://lsc-india.com/sites/default/files/LSCQ2117_Warehouse_Claims_Coordinator.pdf,HIGH,DERIVED,Claims validation is core competency,NEW_SKILL_CANDIDATE
OCC_007,Claims Coordinator – Warehouse,LSC/Q2117,LSC/N2115,SK_DOCUMENTATION,Documentation,Prepare claims for processing,QP_NOS,NSDC QP LSC/Q2117,SRC_014,https://lsc-india.com/sites/default/files/LSCQ2117_Warehouse_Claims_Coordinator.pdf,HIGH,DERIVED,Claims documentation is explicit,NEW_SKILL_CANDIDATE
OCC_009,Domestic Data Entry Operator,SSC/Q2212,SSC/N3022,SK_DATAENTRY,Data Entry,Complete data entry with accuracy,QP_NOS,NSDC QP SSC/Q2212,SRC_015,https://www.nsdcindia.org/sites/default/files/SSCQ2212_Domestic_Data_Entry_Operator.pdf,HIGH,DERIVED,Data entry is core competency,NEW_SKILL_CANDIDATE
OCC_012,Field Technician – Washing Machine,ELE/Q3106,ELE/N3111,SK_DIAGNOSTIC,Diagnostic Skills,Identify fault correctly,QP_NOS,NSDC QP ELE/Q3106,SRC_016,https://www.nsdcindia.org/sites/default/files/QP_ELE-Q3106_Field_Technician_Washing_Machine.pdf,HIGH,DERIVED,Fault diagnosis is explicit,NEW_SKILL_CANDIDATE
OCC_015,Graphic Designer,MES/Q0601,MES/N0603,SK_CREATIVITY,Creative Thinking,Generate design concepts,QP_NOS,NSDC QP MES/Q0601,SRC_017,https://www.nqr.gov.in/sites/default/files/MESQ0601_Graphic_Designer.pdf,HIGH,DERIVED,Design concept generation maps to creative thinking,Existing Kaushora skill
OCC_015,Graphic Designer,MES/Q0601,MES/N0602,SK_DESIGNTOOLS,Design Software,Use tools effectively,QP_NOS,NSDC QP MES/Q0601,SRC_017,https://www.nqr.gov.in/sites/default/files/MESQ0601_Graphic_Designer.pdf,HIGH,DERIVED,Graphic design software usage,NEW_SKILL_CANDIDATE
OCC_018,Hand Embroiderer,AMH/Q1001,AMH/N1001,SK_EMBROIDERY,Hand Embroidery,Complete embroidery as per design,QP_NOS,NSDC Retired QP AMH/Q1001,SRC_020,https://www.nsdcindia.org/nos-listing/4.html,MEDIUM,DERIVED,Embroidery is core competency,NEW_SKILL_CANDIDATE
OCC_025,Refrigeration and Air Conditioner Technician,ELE/Q3102,ELE/N3102,SK_HVAC,HVAC Repair,Install and maintain AC,QP_NOS,NSDC QP ELE/Q3102,SRC_032,https://www.nsdcindia.org/nos-listing/4.html,HIGH,DERIVED,AC installation and maintenance,NEW_SKILL_CANDIDATE
OCC_026,Security Supervisor,MEP/Q7201,MEP/N7201,SK_SECURITYMGMT,Security Management,Supervise guarding operations,QP_NOS,NSDC QP MEP/Q7201,SRC_028,https://www.nsdcindia.org/nos-listing/4.html,HIGH,DERIVED,Security supervision maps to security management,Existing Kaushora skill
OCC_031,Warehouse Supervisor,LSC/Q2307,LSC/N2307,SK_WAREHOUSEOPS,Warehouse Operations,Supervise picking/packing/storage,QP_NOS,NSDC QP LSC/Q2307,SRC_026,https://nqr.gov.in/sites/default/files/LSCQ2307_Warehouse_Supervisor.pdf,HIGH,DERIVED,Warehouse operations supervision,NEW_SKILL_CANDIDATE
OCC_032,Web Developer,SSC/Q0503,SSC/N0503,SK_WEBDEV,Web Development,Develop and test web applications,QP_NOS,NSDC QP SSC/Q0503,SRC_027,https://www.nsdcindia.org/nos-listing/4.html,HIGH,DERIVED,Web application development,NEW_SKILL_CANDIDATE
OCC_032,Web Developer,SSC/Q0503,SSC/N0503,SK_PROGRAMMING,Programming,Develop web applications,QP_NOS,NSDC QP SSC/Q0503,SRC_027,https://www.nsdcindia.org/nos-listing/4.html,HIGH,DERIVED,Programming is core to web development,Existing Kaushora skill
